time,p_LA,p_LV,p_RA,p_RV,p_AR_SYS,p_VEN_SYS,p_AR_PUL,p_VEN_PUL
13.51910139326360,10.825372617914900,48.56698785424380,3.1838772048658100,11.678682443471000,85.31327305656600,23.645068114295200,17.5026763478628,12.867373024327400
13.520101400763600,10.838867713779200,48.09979985360450,3.1913634281189200,11.569388989695600,85.21606820005450,23.64557904487370,17.486969827199900,12.873270514903800
13.521101408263700,10.852299007147200,47.63301944957780,3.198845564408960,11.459913962613200,85.11896003306860,23.646086919278600,17.47133406106580,12.879137004868200
13.52210141576380,10.865666703844300,47.16666969452240,3.206323611805250,11.350271393186800,85.0219484490385,23.646591741188900,17.45576870759110,12.884972645056000
13.523101423263800,10.878971010315200,46.70077359757780,3.2137975685684600,11.240475328623600,84.92503334465070,23.64709351427810,17.440273426467100,12.89077758559490
13.524101430763900,10.892212133619500,46.2353541377434,3.2212674331507800,11.130539830948000,84.8282146198378,23.647592242213800,17.424847878961400,12.896551975895100
13.525101438263900,10.905390281427600,45.77043427692090,3.2287332041959800,11.020478975576100,84.73149217777130,23.648087928658300,17.40949172793290,12.90229596464170
13.526101445764000,10.91850566201680,45.30603697291690,3.2361948805395800,10.910306849890700,84.63486592485530,23.64858057726850,17.39420463784570,12.908009699787200
13.527101453264000,10.93155848426790,44.84218519240040,3.2436524612088800,10.800037551817700,84.53833577072200,23.64907019169580,17.378986274781200,12.913693328545100
13.528101460764100,10.944548957661400,44.37890192381090,3.2511059454230100,10.689685188402800,84.44190162822910,23.649556775586900,17.36383630644900,12.919346997384400
13.529101468264200,10.95747729227520,43.916210190212700,3.2585553325930100,10.579263874389800,84.34556341345840,23.65004033258310,17.348754402196700,12.924970852025100
13.530101475764200,10.970343698780800,43.45413306209110,3.266000622321840,10.468787730799100,84.24932104571700,23.650520866321200,17.333740233018900,12.930565037434000
13.531101483264300,10.98314838844150,42.9926936700861,3.27344181440434,10.358270883507100,84.15317444753870,23.650998380432900,17.318793471564700,12.936129697821200
13.53210149076430,10.995891573109800,42.531915217658500,3.28087890882727,10.247727461825800,84.05712354468850,23.651472878545500,17.30391379214430,12.941664976638100
13.533101498264400,11.00857346522570,42.07182099368550,3.2883119057692400,10.137171597084000,83.96116826616780,23.651944364281900,17.28910087073540,12.947171016574600
13.534101505764400,11.021194277814800,41.61243438497930,3.2957408056006500,10.02661742120750,83.8653085442216,23.652412841260500,17.274354384987600,12.952647959558100
13.5351015132645,11.033754224487400,41.15377888872640,3.3031656088836500,9.916079065301120,83.7695443143474,23.65287831309550,17.259674014226800,12.958095946752600
13.536101520764600,11.046253519437200,40.69587812484130,3.3105863163720100,9.805570658230290,83.6738755153053,23.65334078339710,17.245059439458700,12.963515118557900
13.537101528264600,11.058692377440700,40.2387558482323,3.318002929011010,9.695106325202940,83.57830208913020,23.653800255771500,17.230510343371400,12.968905614610200
13.538101535764700,11.071071013857600,39.78243596097200,3.3254154479373400,9.584700186351880,83.48282398114510,23.6542567338212,17.216026410337200,12.974267573781900
13.539101543264700,11.083389644629800,39.326942524371600,3.3328238744789200,9.474366355317170,83.38744113997670,23.654710221144900,17.20160732641450,12.97960113418340
13.540101550764800,11.095648486282800,38.87229977095100,3.3402282101547200,9.364118937828570,83.2921535175716,23.655160721337700,17.18725277934790,12.984906433163500
13.541101558264800,11.107847755926200,38.41853211630340,3.347628456674610,9.253972030287970,83.1969610692148,23.655608237991500,17.172962458569100,12.990183607311900
